origin,color,varietal,Price,Acidity,Alcohol,Sugar,Tanin,fruity,floral,vegetal,spicy,woody,sweet,astringency,acidic,hedonic
chili1,red,merlot,11,5.33,13.8,2.75,559,6,2,1,4,5,3,5,4,2
chili2,red,cabernet,5,5.14,13.9,2.41,672,5,3,2,3,4,2,6,3,2
chili3,red,shiraz,7,5.16,14.3,2.2,455,7,1,2,6,5,3,4,2,2
chili4,red,pinot,16,4.37,13.5,3,348,5,3,2,2,4,1,3,4,4
chili5,white,chardonnay,14,4.34,13.3,2.61,46,5,4,1,3,4,2,1,4,6
chili6,white,sauvignon,8,6.6,13.3,3.17,54,7,5,6,1,1,4,1,5,8
chili7,white,riesling,9,7.7,12.3,2.15,42,6,7,2,2,2,3,1,6,9
chili8,white,gewurzt,11,6.7,12.5,2.51,51,5,8,2,1,1,4,1,4,9
chili9,rose,malbec,4,6.5,13,7.24,84,8,4,3,2,2,6,2,3,8
chili10,rose,cabernet,3,4.39,12,4.5,90,6,3,2,1,1,5,2,3,8
chili11,rose,pinot,6,4.89,12,6.37,76,7,2,1,1,1,4,1,4,9
chili12,rose,syrah,5,5.9,13.5,4.2,80,8,4,1,3,2,5,2,3,7
canada1,red,merlot,20,7.42,14.9,2.1,483,5,3,2,3,4,3,4,4,3
canada2,red,cabernet,15,7.35,14.5,1.9,698,6,3,2,2,5,2,5,4,2
canada3,red,shiraz,20,7.5,14.5,1.5,413,6,2,3,4,3,3,5,1,2
canada4,red,pinot,25,5.7,13.3,1.7,320,4,2,3,1,3,2,4,4,4
canada5,white,chardonnay,20,6,13.5,3,35,4,3,2,1,3,2,2,3,5
canada6,white,sauvignon,15,7.5,12,3.5,40,8,4,3,2,1,3,1,4,8
canada7,white,riesling,15,7,11.9,3.4,48,7,5,1,1,3,3,1,7,8
canada8,white,gewurzt,18,6.3,13.9,2.8,39,6,5,2,2,2,3,2,5,6
canada9,rose,malbec,8,5.9,12,5.5,90,6,3,3,3,2,4,2,4,8
canada10,rose,cabernet,6,5.6,12.5,4,85,5,4,1,3,2,4,2,4,7
canada11,rose,pinot,9,6.2,13,6,75,5,3,2,1,2,3,2,3,7
canada12,rose,syrah,9,5.8,13,3.5,83,7,3,2,3,3,4,1,4,7
usa1,red,merlot,25,6,13.6,3.5,578,7,2,2,5,6,3,4,3,2
usa2,red,cabernet,15,6.5,14.6,3.5,710,8,3,1,4,5,3,5,3,2
usa3,red,shiraz,25,5.3,13.9,1.99,610,8,2,3,7,6,4,5,3,1
usa4,red,pinot,28,6.1,14,0,340,6,3,2,2,5,2,4,4,2
usa5,white,chardonnay,15,7.2,13.3,1.1,41,6,4,2,3,6,3,2,4,5
usa6,white,sauvignon,8,7.2,13.5,1,50,6,5,5,1,2,4,2,4,7
usa7,white,riesling,10,8.6,12,1.65,47,5,5,3,2,2,4,2,5,8
usa8,white,gewurzt,20,9.6,12,0,45,6,6,3,2,2,4,2,3,8
usa9,rose,malbec,3,6.2,12.5,4,84,8,2,1,4,3,5,2,4,7
usa10,rose,cabernet,4,5.71,12.5,4.3,93,8,3,3,3,2,6,2,3,8
usa11,rose,pinot,8,5.4,13,3.1,79,6,1,1,2,3,4,1,3,6
usa12,rose,syrah,6,6.5,13.5,3,89,9,3,2,5,4,3,2,3,5
